,clean_name,transactor_type
5190,michigan association of insurance ag,Organization
5191,mi podiatric medical association,Organization
5192,emmet county democratic committee,Organization
6501,burglar and fire alarm assn bfaampac,Organization
6502,dearborn heights professional fire f,Organization
6503,capitol city labor program advocacy,Organization
6505,6th district republican committee,Organization
6506,marquette county democratic party,Organization
6507,friends of incompass michigan,Organization
6508,michigan manufacturers association p,Organization
6509,wisconsin electric michigan politica,Organization
6510,national association of insurance an,Organization
6511,beeler majority fund pac,Organization
6512,committee to elect andrew beeler,Organization
6513,local 1602 pac,Organization
6514,the party politic,Organization
6515,roscommon county official democratic,Organization
6517,bay city educators pac,Organization
6518,cte mike harris,Organization
6519,muchmore harrington smalley associat,Organization
6520,midland county democratic party,Organization
6521,dearborn democratic club pac,Organization
6522,markkanen leadership fund,Organization
6523,ralph rebandt for governor,Organization
6524,mason county republican committee,Organization
6525,wexford county republican committee,Organization
6526,13th cdrc,Organization
6527,mi osteopathic pac mopac,Organization
6528,mi milk producers pac,Organization
6529,wmg pac,Organization
6530,friends of mta,Organization
6531,oakland county democratic party,Organization
6532,iosco county democratic party,Organization
6533,committee to elect laurie pohutsky,Organization
6534,fems for dems pac,Organization
6535,gratiot county republican party,Organization
6536,fifth third bancorp political action,Organization
7219,dearborn federation of teachers poli,Organization
7220,judge ray voet for court of appeals,Organization
7221,cte richard m steenland,Organization
7223,eli lilly and company pac,Organization
7224,plumbers & pipefitters local 190 pol,Organization
8743,friends of tom kuhn,Organization
8744,eaton county republican committee,Organization
8745,committee to elect diana farrington,Organization
8746,farrington leadership fund,Organization
8747,great lakes timber professionals ass,Organization
8748,michigan automobile dealers politica,Organization
8749,committee to elect lori stone,Organization
8750,west michigan plumbers fitters and s,Organization
8751,allegan county democratic party,Organization
8752,mi elmntry and mdle schl assc memspa,Organization
8753,detroit auto dealers pac,Organization
8754,capitol services pac,Organization
8755,dearborn firefighters political acti,Organization
8756,bricklayers and allied craftworkers,Organization
8757,michigan physical therapy pac,Organization
8758,pharmacy pac,Organization
8759,committee to elect tullio liberati,Organization
8760,washtenaw county republican committe,Organization
8761,mi community college assn mcca pac,Organization
8762,equity pac,Organization
8763,clinton township democratic club sta,Organization
8764,michigan association of timberman ti,Organization
8765,phillip joseph for state representat,Organization
8766,michigan sierra pac,Organization
8767,john roth for state rep committee,Organization
8768,the committee to elect tom kunse,Organization
8769,shri thanedar for michigan,Organization
8770,friends of grand valley,Organization
8771,cms energy corp employees for better,Organization
10736,united wholesale mortgage pac,Organization
10737,missaukee county republican committe,Organization
10738,damoose leadership fund,Organization
10739,genesee democratic party state accou,Organization
10740,detroit fire fighters association po,Organization
10741,friends of occupational therapy in m,Organization
10742,lenawee county republican committee,Organization
10743,international brotherhood of electri,Organization
10744,michigan boating industries associat,Organization
10745,police officers assn of mi poam,Organization
10746,coam capital campaign fund,Organization
10747,charlevoix county democratic party,Organization
10748,pioneer state mutual pac,Organization
11558,rosemary bayer for senate,Organization
11559,mi professional firefighters union,Organization
11560,bayer for michigan,Organization
11561,total community options michigan pac,Organization
11562,kevin coleman for michigan,Organization
11563,st clair county democratic committee,Organization
11564,oceana county republican committee,Organization
11565,berrien county democratic party,Organization
11566,sanilac county republican committee,Organization
11567,waste management employees better go,Organization
12729,cte rachelle smit for state represen,Organization
12730,sheet metal workers local 80 pac,Organization
12731,grosse pointe democratic club,Organization
12732,alpena county democratic party,Organization
12733,macomb county republican committee,Organization
12734,michigan ground water assn pac,Organization
12735,mi assoc of community bankers of mic,Organization
12736,michigan association of county clerk,Organization
12737,the mannik and smith group inc michi,Organization
12738,mi business aviation assn mbaa pac,Organization
12739,michigan infrastructure and transpor,Organization
12740,michigan society of anesthesiologist,Organization
12741,shiawassee county repulican executiv,Organization
12742,committee to elect roslyn ogburn for,Organization
12743,united association of plumbers and p,Organization
14852,michigan optometric association pac,Organization
14853,greimel for michigan,Organization
14854,benzie county republican party,Organization
14855,friends of timothy h beson,Organization
14856,friends of kathy white,Organization
14857,cte wendy mazer,Organization
14858,wendzel will,Organization
14859,lapeer county republican party,Organization
14860,michigan corrections organization po,Organization
14861,troopers pac,Organization
16445,committee to elect samantha stecklof,Organization
16446,michigan society of eye physicians a,Organization
16447,upper peninsula plumbers and pipefit,Organization
16448,michigan legislative consultants pac,Organization
16449,committee to elect ed mcbroom,Organization
16450,friends of cmu,Organization
16451,ford motor company civic action fund,Organization
16453,mi state afl cio cope contributions,Organization
16454,committee to elect jeremiah keeler,Organization
16455,teamsters 247 political action commi,Organization
16456,yes on national popular vote of mich,Organization
16457,teamsters 332 political action commi,Organization
16458,gladwin county democratic party,Organization
16459,united we can michigan (superpac),Organization
16460,green and white pac,Organization
16461,leadership for democracy fund,Organization
16462,friends of john reilly,Organization
16463,manistee county democratic committee,Organization
16464,waterford democratic club,Organization
16465,committee to elect michael webber,Organization
16466,kheder davis associates pac,Organization
16467,jackson county republican committee,Organization
16468,michigan health choice alliance,Organization
16469,cte doug wozniak,Organization
16470,julie alexander for state rep,Organization
16471,kahle majority fund,Organization
16472,black slate inc,Organization
16473,hauck majority fund,Organization
16474,annette glenn for michigan,Organization
16475,annette glenn for state senate,Organization
16476,alexander majority fund pac,Organization
16477,emmet county republican committee,Organization
16478,michigan credit union league action,Organization
18185,mi assn cert pub accntns macpa pac,Organization
19733,pfizer michigan pac,Organization
19734,chippewa co dem party,Organization
19735,shiawassee county democratic party,Organization
19736,farm pac (superpac),Organization
19737,michigan chamber political action co,Organization
19738,benzie county democratic committee,Organization
19739,msuwc pac,Organization
19740,committee to elect yousef rabhi,Organization
19741,liberty and justice for all,Organization
19742,american electric power company mi c,Organization
19743,clare county republican party,Organization
19744,michigan association of school socia,Organization
19745,ottawa county republican committee,Organization
19746,mortgage bankers association of mich,Organization
19747,bradley slagh for michigan,Organization
19748,sean mccann for state senate,Organization
19749,mccann for michigan,Organization
19750,logan byrne for state representative,Organization
19751,carter for michigan pac,Organization
19752,committee to elect brenda carter,Organization
19753,michigan manufactured housing rv and,Organization
19754,albert majority fund,Organization
19755,detroit forward together (superpac),Organization
19756,isabella county republican committee,Organization
19757,comerica inc political action commi,Organization
21573,detroit police officers association,Organization
22909,detroit regional chamber political a,Organization
22910,dykema gossett state pac,Organization
22911,j b moss voice of the electorate,Organization
24745,m-acre pac,Organization
24746,priority health political action com,Organization
24747,fair and equal michigan,Organization
24748,pipefitters local 636 pac,Organization
25902,michigan fire chiefs pac,Organization
25903,nabipmi pac,Organization
25904,michigan farm bureau political actio,Organization
29736,entergy corporation pac,Organization
29737,uaw michigan voluntary political act,Organization
31018,giarmarco mullins and horton pac,Organization
31019,sheet metal workers local 7 pac,Organization
31020,family law pac (flspac),Organization
31021,county road association roads plus,Organization
31022,friends of wayne state pac,Organization
33103,higgins lake property owner associat,Organization
33104,teamsters 214 political action commi,Organization
33105,mi academy pac,Organization
33106,teamsters 243 political action commi,Organization
33107,teamsters 283 political action commi,Organization
33108,kyra harris bolden for state rep,Organization
33109,committee to elect scott mcgraw,Organization
33110,sevag vartanian for u of m regent,Organization
33111,friends of heidi warrington,Organization
33112,michigan action state superpac,Organization
33113,realtors pac of mi,Organization
37130,manistee county republican committee,Organization
38941,genesee landlords assn pac,Organization
38942,michele hoitenga for state senate,Organization
38943,realtors pac of mi ii,Organization
38944,st clair county republican committee,Organization
38945,support fhps,Organization
38946,michigan association of ambulance se,Organization
38947,kellanova political action committee,Organization
38948,business leaders for michigan pac,Organization
38949,support las,Organization
38950,business leaders for michigan pac ii,Organization
38951,michigan league of conservation vote,Organization
38952,rodney wakeman for state representat,Organization
38953,judge kathleen feeney for court of a,Organization
38954,michigan freedom network,Organization
38955,teamsters 337 political action commi,Organization
38956,teamsters 614 political action commi,Organization
38957,teamsters democratic republican inde,Organization
38958,republican state leadership committe,Organization
40632,teamsters 299 political action commi,Organization
40633,michigan public employees seiu local,Organization
40634,livonia republican club,Organization
40635,berrien county republican committee,Organization
40636,molina healthcare inc michigan polit,Organization
41773,associated builders and contractors,Organization
41775,rock holdings inc state pac,Organization
41776,teamsters 406 political action commi,Organization
43266,teamsters 1038 political action comm,Organization
43267,st joseph county republican comm,Organization
43269,bay county democratic party,Organization
43270,committee to elect pauline wendzel,Organization
43271,macomb county democratic committee,Organization
43272,mi boilermakers state and local pac,Organization
43273,tuscola county democratic party,Organization
43274,roscommon county republican party,Organization
43275,working class party committee,Organization
43276,north oakland democratic club victor,Organization
43277,vertex pharmaceuticals inc pac,Organization
43278,dow inc pac (dowpac),Organization
43279,operating engineers local 324 pac,Organization
43280,corteva inc employees pac corteva ag,Organization
44491,young democrats of michigan,Organization
44492,dte energy company political action,Organization
46834,ottawa county democratic party,Organization
47677,amerisure pac ameripac,Organization
47678,chaldean chamber political action co,Organization
47679,huntington national bank-michigan po,Organization
47680,marquette county republican party,Organization
47681,hamtramck federation of teachers pac,Organization
47682,fighting for michigan fund,Organization
47683,friends of west michigan business gr,Organization
47684,aric nesbitt for state senate,Organization
47685,flagstar bank pac,Organization
48529,plumbers union local 98,Organization
49962,local 1557 intl assoc of firefighter,Organization
49963,mi roofers local 149 pac,Organization
49964,citizens for traditional values poli,Organization
49965,ken horn for senate,Organization
49966,swing left michigan state fund,Organization
49967,committee to elect christine morse f,Organization
49968,westland fire fighters separate segr,Organization
49969,mi pipe trades assoc independent exp,Organization
49970,merck and co inc employees pac,Organization
49971,ind mi political action council of t,Organization
49972,national federation of ind business,Organization
49973,michigan harness horsemens associati,Organization
49974,michele for michigan,Organization
49975,friends of saginaw valley state univ,Organization
49976,beth griffin for state rep,Organization
49977,committee to elect steve carra,Organization
49978,progressive womens alliance of west,Organization
49979,committee to elect ann manary state,Organization
49980,deloitte political action committee,Organization
49981,michigan orthopaedic society pac,Organization
49982,midwest strategy group pac,Organization
49983,michigan licensed beverage assoc pac,Organization
49984,friends of southwestern mi college,Organization
49985,lapeer co dem party,Organization
49986,jack omalley for state representativ,Organization
49987,michael brown for governor,Organization
49988,wayne county democratic black caucus,Organization
49989,michigan nurses association politica,Organization
49990,midland county republican committee,Organization
49991,progress plymouth pac,Organization
49992,meijer political action committee,Organization
51616,mi restaurant  and lodging assoc pac,Organization
51619,friends to elect michele hoitenga,Organization
51620,michigan assisted living association,Organization
51621,daga pac michigan,Organization
51622,committee to elect gary howell,Organization
51623,michigan commercial real estate pac,Organization
51624,victory values fund,Organization
51625,ivote mi pac,Organization
51626,we the people mi pac (superpac),Organization
51627,karoub associates political action c,Organization
51628,manley justice fund (superpac),Organization
51629,plumbers and pipefitters local 333 p,Organization
52681,a t and t michigan pac,Organization
54181,kara hope for state representative,Organization
54182,grand traverse county republican par,Organization
54183,mda dental pac,Organization
54184,united food and commercial workers m,Organization
54185,henry ford health system government,Organization
54186,second congressional dist democratic,Organization
54187,monroe county democratic executive p,Organization
55516,southwest michigan first pac,Organization
55517,lewis and munday pac,Organization
55518,committee to elect erin zimmer,Organization
55519,insurance alliance of michigan polit,Organization
55520,schostak family pac,Organization
55521,tri city leadership pac,Organization
55522,coalition for common sense,Organization
55523,oakland leadership fund,Organization
55524,west oakland republican committee pa,Organization
55525,ronnie peterson committee,Organization
55526,get kids back to school pac,Organization
55527,houghton county democratic committee,Organization
55528,allstate insurance company pac,Organization
55529,nextera energy inc political action,Organization
55530,state farm mutual automobile insuran,Organization
55531,michigan strong (superpac),Organization
55532,democratic association of secretarie,Organization
55533,wayne 11th congressional district re,Organization
55534,northville democratic club pac,Organization
55535,friends of bronwyn haltom,Organization
55536,committee to elect marla linderman r,Organization
55537,committee to elect todd schorle ii,Organization
55538,committee to elect steven thomas,Organization
55539,committe to elect diane saber,Organization
57568,mi academy of physician assistants,Organization
57569,michigan veterinary medical associat,Organization
57570,mi assn of health plans pac mahp pac,Organization
57571,voters not politicians,Organization
57572,independence blue cross llc pac (spo,Organization
57573,engineering michigans future,Organization
57574,committee to elect ryan roberts,Organization
57575,muskegon county conservative womens,Organization
57576,paul steven jancha for district cour,Organization
57577,fred green political action committe,Organization
57578,paul wojno for state senate,Organization
57579,st joseph county democratic committe,Organization
57580,meerman majority fund,Organization
57581,kim lasata for state senate,Organization
57582,monroe county republican party execu,Organization
57583,mi assoc of health plans (superpac),Organization
57584,otsego county republican committee,Organization
57585,lake county democratic party,Organization
57586,keep improving michigan pac,Organization
57587,canton democratic club,Organization
57588,fink majority fund,Organization
57589,whiteford leadership fund,Organization
57590,committee to elect mary whiteford,Organization
57591,arianne slay for judge,Organization
57592,friends of ruth johnson,Organization
57593,cte chad moore,Organization
57594,citizens to elect luke meerman for s,Organization
57595,osceola county republican committee,Organization
57596,friends of michigans community healt,Organization
57597,314 action victory fund,Organization
57598,henry ford comm college fed hfcc pac,Organization
57599,committee to elect daire rendon,Organization
57600,4th congressional dist rep comm,Organization
57601,m power pac,Organization
57602,lagrandpac,Organization
57603,samuel bagenstos for justice,Organization
57604,sarah hubbard for michigan,Organization
57605,travis menge for msu trustee,Organization
57606,lauren hantz for michigan,Organization
57607,committee to elect mike shirkey stat,Organization
57608,vanwoerkom solutions pac,Organization
57609,michigan craft distillers associatio,Organization
57610,michigan strong future pac,Organization
57611,compete michigan political action co,Organization
57612,cte karen whitsett for state rep,Organization
57613,friends of daylen howard,Organization
57614,pat outman for state representative,Organization
57615,dale zorn for senate,Organization
59221,pursuit of justice,Organization
59222,friends of linda glisman,Organization
59223,grow michigan pac,Organization
59224,grand rapids firefighters union pac,Organization
59225,committee to elect sarah lightner,Organization
59227,mi assn nurse anesthetists mana pac,Organization
59228,cte lily cheng schulting,Organization
59229,for our futures fund,Organization
59230,jonathan lindsey for state senate,Organization
59231,committee to elect david lagrand,Organization
59232,josh schriver for state representati,Organization
59233,witwer for michigan,Organization
59234,cte jaime greene,Organization
59235,safe lending michigan,Organization
59236,oakland county republican party,Organization
59237,friends of west michigan schools,Organization
59238,jason morgan for state representativ,Organization
59239,north macomb pac,Organization
59240,michigan in home care pac,Organization
59241,delta county democratic party,Organization
59242,friends of hope network,Organization
59243,committee to elect amos oneal,Organization
59244,maddock leadership fund,Organization
60976,charlevoix county republican committ,Organization
60977,growing michigan,Organization
60978,friends of phil green,Organization
60979,health alliance plan pac,Organization
60980,clinton county democratic party,Organization
60981,green thumb leadership,Organization
60983,advancing michigan,Organization
60984,committee to elect roger hauck (stat,Organization
60985,committee to elect chris tuski,Organization
60986,friends of erika geiss,Organization
60987,cte dan lauwers for senate,Organization
60988,friends of matt maddock  for st rep,Organization
60989,justice for michigan,Organization
60990,hornberger majority fund pac,Organization
60991,sarah anthony leadership fund pac,Organization
60992,sarah anthony for state representati,Organization
60993,friends of greg vanwoerkom,Organization
60994,arab american political action commi,Organization
60995,warren professional firefighters ss,Organization
60996,roger victory for state senate,Organization
60997,friends of tim sneller,Organization
60998,jmr all star pac,Organization
60999,julie rogers for state rep,Organization
61000,committee to elect cynthia r neeley,Organization
61001,green party of michigan committee,Organization
61002,padma for the people pac,Organization
61003,stephanie a young for state represen,Organization
61004,committee to elect scott vansingel,Organization
61005,sam singh for state senate,Organization
61006,committee to elect betty alexander,Organization
61007,jeremy moss for state senate,Organization
61008,a more perfect michigan pac,Organization
61009,mallory mcmorrow for michigan,Organization
61010,calhoun county democratic party,Organization
61011,promote the vote action,Organization
61012,friends of phil skaggs,Organization
61014,committee to elect kevin hertel,Organization
61015,lasinski for michigan pac,Organization
61016,hertel for michigan,Organization
61017,van buren county republican executiv,Organization
61018,committee to elect shawn petri state,Organization
61019,stephanies changemaker fund,Organization
61020,friends of gabriel lossing,Organization
61021,michigan reynolds american inc. poli,Organization
61022,livingston county dem exec comm,Organization
61023,committee to elect kelly smith,Organization
61024,linda lee tarver for better educatio,Organization
61025,aft michigan aftmipac,Organization
62148,macomb county republican assembly (s,Organization
62149,barry county republican committee,Organization
62150,bollin for michigan,Organization
62151,posthumus majority fund,Organization
62152,vega fund,Organization
62153,friends for cathryn neracher,Organization
62154,ann bollin for state rep,Organization
62155,gov consultant svcs inc 21st century,Organization
62156,committee to elect gina johnsen,Organization
62157,spartannash company state political,Organization
62158,livingston county republican committ,Organization
62159,committee to elect sharifa kerene mo,Organization
62160,12th congressional district republic,Organization
62161,committee to elect padma kuppa,Organization
63560,michigan democratic party youth cauc,Organization
63561,delta political action committee,Organization
63562,ellison for michigan,Organization
63563,the committee to elect mike hoadley,Organization
63564,the committee to elect gary r eisen,Organization
63565,kristina karamo for sos,Organization
63566,maximus inc political action committ,Organization
63567,wayne county republican committee,Organization
63568,stephanie chang for senate,Organization
63569,cte rick outman for state senate,Organization
65178,cte john damoose for state represent,Organization
65179,joe tate leadership pac,Organization
65180,curtis hertel jr for michigan,Organization
65181,steve johnson for state rep,Organization
65182,cte pamela hornberger,Organization
65183,enterprise holdings inc enterprise m,Organization
65184,wexford county democratic party,Organization
65185,mi coin machine op assn mcmoa ampac,Organization
65186,plumbers and steamfitters 85 pac,Organization
65187,tgif victory fund,Organization
65188,cynthia a johnson stands up detroit,Organization
65189,michiganders for the commonwealth,Organization
65190,embolden pac,Organization
65191,noah arbit for michigan,Organization
65192,up united,Organization
65193,vanderwall majority fund,Organization
65194,cte winnie brinks for senate,Organization
65195,sabo for michigan,Organization
65196,brinks victory fund,Organization
65197,jeff irwin for state senate,Organization
65198,zorn leadership fund,Organization
65199,michigan for ryan d kelley,Organization
65200,brinks for michigan,Organization
65201,compete michigan pac 3,Organization
65202,friends of jim ananich senate,Organization
65204,brinks majority fund,Organization
65205,friends of will snyder,Organization
65206,committee to elect tommy brann,Organization
65207,mi funeral directors assn pac mfda,Organization
65208,moving genesee county forward pac,Organization
65209,the committee to elect lana theis,Organization
65210,raise the wage mi,Organization
65211,mi working families party pac,Organization
65212,committee to elect joseph tate,Organization
66985,saginaw county republican committee,Organization
66986,cass county republican committee,Organization
66987,14th district republican committee,Organization
66988,committee to elect thomas a albert,Organization
66989,friends of ranjeev puri,Organization
66990,cte pamela hornberger for state sena,Organization
66991,jeff johnson for mi,Organization
66992,casey hoffman for state representati,Organization
66993,delta county republican party,Organization
66995,cte kevin rathbun,Organization
66996,small business association of michig,Organization
66997,friends of jon bumstead,Organization
66998,committee to elect ken borton,Organization
66999,stamas leadership pac,Organization
67000,ben pac,Organization
67001,curt vanderwall for state senate,Organization
67002,filler majority pac,Organization
67003,friends of henry ford college pac,Organization
67004,friends of housing pac,Organization
67005,michigan aggregates association,Organization
67006,west michigan anesthesia pac,Organization
67007,mike mueller for state representativ,Organization
67008,health care association of michigan,Organization
67009,broadband association of michigan pa,Organization
67010,acec michigan consulting engineers c,Organization
67011,jocelyn benson for secretary of stat,Organization
68673,bob bezotte for state rep,Organization
68674,itc holdings corp pac,Organization
68676,dayna polehanki for state senate,Organization
68678,dylan pescarolo for state representa,Organization
68679,graham filler for state representati,Organization
68680,cindy berry for secretary of state,Organization
68681,planned parenthood advocates of mi,Organization
68682,committee to retain judge cori barkm,Organization
68683,bay county republican party committe,Organization
68684,friends of darrin camilleri,Organization
68685,international union of painters and,Organization
68686,committee to elect rachel hood,Organization
68687,wayne schmidt for state senate,Organization
68688,building accountability behind exper,Organization
68689,community to elect tc clements,Organization
68690,helena scott for michigan pac,Organization
68691,jim stamas for state senate,Organization
68692,committee to elect tc clements,Organization
68693,committee to elect matt koleszar,Organization
70230,rescare inc dba brightspring health,Organization
70231,committee to elect geyer balog,Organization
70232,mike macdonald for senate,Organization
70233,weiss for michigan,Organization
70234,friends of dan oneil,Organization
70235,angela witwer for state representati,Organization
70236,committee to elect jim haadsma,Organization
70237,kevin daley for state senate,Organization
70238,mi assoc of cmh board macmhb,Organization
70239,berman leadership fund,Organization
70240,friends of mark huizenga,Organization
70241,committee to elect mark huizenga,Organization
70242,cte marcus a cummings,Organization
70243,southwestern wayne democratic club,Organization
70244,committee to elect marc cummings mi,Organization
70245,committee to elect jacky eubanks,Organization
70246,committee to elect joe boogren,Organization
70247,mi7th cdrc,Organization
70248,felicia brabec for state representat,Organization
70249,progress michigan political action f,Organization
70250,allegan county republican committee,Organization
70252,committee to elect donna lasinski,Organization
70253,us ecology inc pac michigan,Organization
70254,matt for michigan pac,Organization
70255,wave michigan,Organization
70256,empower mi vote,Organization
70257,bronna kahle for state senate,Organization
70258,bronna kahle for state rep,Organization
70259,committee to elect melanie macey,Organization
70260,defense pac,Organization
70261,comcast corporation and nbcuniversal,Organization
70262,chief james craig for governor,Organization
74267,citizens to elect helena scott,Organization
74268,committee to elect andrew sebolt for,Organization
74269,kelly tebay for msu,Organization
74270,friends of john cherry,Organization
74271,friends of meghan reckling,Organization
74272,one majority goal fund,Organization
74273,higher ground pac,Organization
74274,secure mi vote,Organization
74275,seiu michigan,Organization
77545,committee  for the advancement of mi,Organization
77546,abraham aiyash for michigan,Organization
77547,michiganders for fair lending,Organization
77548,unlock michigan,Organization
77549,potato growers of michigan inc pac,Organization
77550,red and blue pac,Organization
77551,cte lindsay kronemeyer,Organization
77552,farmington farmington hills democrat,Organization
77553,mecosta county democratic party,Organization
77554,friends of dana nessel,Organization
78800,11th congressional dist rep comm,Organization
78801,michigan league of responsible voter,Organization
78802,cte kim morley,Organization
78803,cng holdings inc pac,Organization
78804,michigan crypto pac,Organization
78805,curtis hertel jr for senate,Organization
78806,grand traverse county democratic com,Organization
78807,committee to elect sara cambensy for,Organization
78808,value for michigan,Organization
78809,heat and frost insulators local 25 p,Organization
78810,friends of justin faber,Organization
78811,cte mick bricker,Organization
78812,mi blue cross blue shield bcbsm pac,Organization
83886,geiss leadership fund,Organization
83887,committee to elect terry j sabo,Organization
83888,democratic legislative campaign comm,Organization
85797,committee to elect jason wentworth,Organization
85798,red cedar conservatives pac,Organization
85799,michigan association for justice jus,Organization
85800,kent county republican committee,Organization
85801,friends of cara clemente,Organization
85802,michigan sugar company growers polit,Organization
85804,michael detmer for state senate,Organization
85805,julie brixie for state representativ,Organization
85806,clements leadership fund,Organization
85807,michigan liberation action fund (sup,Organization
85808,alabas a farhat,Organization
85809,huizenga for michigan leadership fun,Organization
85810,committee to elect regina weiss,Organization
85811,bizon majority fund,Organization
85812,committee to elect dr john bizon,Organization
85813,cte gregory j. markkanen,Organization
85814,brad paquette for state representati,Organization
85815,friends of mari manoogian,Organization
85816,plunkett and cooney pc pac,Organization
85817,friends of jaime churches,Organization
86715,paquette leadership fund,Organization
86716,brotherhood of locomotive engineers,Organization
86717,sylvia santana for senate,Organization
86718,friends of tom barrett,Organization
86719,pepsico inc concerned citizens fund,Organization
86720,elect ryan berman,Organization
86721,elect ryan berman ag,Organization
86722,mi regional carpenters mrcc pac,Organization
95115,friends of jim lilly,Organization
95117,michigan strategic leadership fund,Organization
95118,nesbitt majority fund,Organization
95119,committee to elect david martin stat,Organization
95120,elect jim runestad for state senate,Organization
95121,building bridges pac,Organization
99893,mainstreet political action committe,Organization
99894,friends of nate shannon,Organization
99895,kevin green for senate,Organization
99896,the pac for americas future mi,Organization
99897,andrew fink for state representative,Organization
99898,keep michigan safe,Organization
99899,public health over politicians,Organization
99900,west michigan progress pac,Organization
99901,the home depot inc political action,Organization
99902,moss pac,Organization
99903,fannie lou hamer political action co,Organization
99904,the julie brixie blue wave fund 2,Organization
99905,the julie brixie blue wave fund,Organization
101065,matt hall for state representative,Organization
101066,mi laborers political league,Organization
101067,montcalm county republican executive,Organization
101068,lansing regional chamber lrc pac,Organization
101069,michigan senate democratic fund,Organization
102980,friends of bryan posthumus,Organization
102981,construction workers local 1076 ed c,Organization
102982,bob scott for michigan governor camp,Organization
102983,michigan iniative for community heal,Organization
102984,monroe plumbers and pipe fit l671,Organization
102986,protect mi vote,Organization
102987,michigan 10th congressional district,Organization
102988,tom leonard for michigan,Organization
102989,advocates of change for tomorrow pol,Organization
102990,gretchen whitmer for governor,Organization
121637,sarah anthony for state senate,Organization
121638,unitedhealth group incorporated pac,Organization
123267,michigan retailers association polit,Organization
123268,friends of chris stewart,Organization
123269,wentworth majority fund 2,Organization
123270,house republican campaign committee,Organization
123271,mi values leadership fund ii,Organization
123272,committee to elect roger hauck,Organization
123273,committee to elect anthony feig,Organization
123274,donna brandenburg for governor,Organization
123275,wentworth majority fund pac,Organization
123276,democratic state central committee,Organization
123277,matt hall majority fund,Organization
123278,adam j hollier committee,Organization
123279,senate republican campaign committee,Organization
123280,michigan house democratic fund,Organization
123281,committee to elect joe bellino,Organization
123282,ingham county republican committee,Organization
123283,tudor dixon for governor inc,Organization
123284,beau lafave sos,Organization
123285,muskegon county democratic party,Organization
124488,advancing for detroit and mi pac,Organization
124489,second district cong committee of mi,Organization
124490,vote kelly breen,Organization
124491,santana for michigan,Organization
124492,clinton county republican committee,Organization
124493,friends to elect marshall bullock,Organization
124494,emilys list michigan,Organization
124496,cleveland cliffs inc pac,Organization
124498,michigan education association pac,Organization
131260,forward together pac,Organization
131261,local 357 plumbers and pipefitters p,Organization
132974,friends of linda ybarra-bozzone,Organization
132976,michigan motorcycle riders pac,Organization
132977,branch county republican party,Organization
132978,northwest michigan united for racial,Organization
132979,retired troopers pac,Organization
132980,jim ellison for state rep,Organization
132981,matthew deperno for michigan,Organization
132982,save america,Organization
132983,committee to elect angela rigas,Organization
132984,committee to elect julie calley,Organization
132985,calley majority fund,Organization
132987,open democracy pac,Organization
132988,committee to elect latisha johnson,Organization
132989,republican oakland county commission,Organization
132990,newaygo county republican committee,Organization
132992,cte jon rocha,Organization
132994,cte jason kolkema for district court,Organization
132995,carol glanville for state representa,Organization
132997,eleventh congressional district of m,Organization
132998,taylor fed of teachers pac tft pac,Organization
133001,michigan democratic jewish caucus,Organization
133002,citizens to elect justin noordhoek,Organization
134890,committee to elect ginger l shearer,Organization
134893,jerry solis for state representative,Organization
134894,cte terence mekoski,Organization
134895,kent douglas for state representativ,Organization
